sample_id,sample_name,step,metric,value,dataset,project,source_file,step_label
GFB-64245,DMF5CDR3bGIG012xnegative,01_preprocessing,reads_in_total,34906314,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64245,DMF5CDR3bGIG012xnegative,01_preprocessing,reads_out_total,15966322,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64245,DMF5CDR3bGIG012xnegative,01_preprocessing,reads_lost_trimming,18939992,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64245,DMF5CDR3bGIG012xnegative,01_preprocessing,n_input_fastqs,2,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64246,DMF5CDR3bGIG032xnegative,01_preprocessing,reads_in_total,18453526,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64246,DMF5CDR3bGIG032xnegative,01_preprocessing,reads_out_total,7399731,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64246,DMF5CDR3bGIG032xnegative,01_preprocessing,reads_lost_trimming,11053795,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64246,DMF5CDR3bGIG032xnegative,01_preprocessing,n_input_fastqs,2,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64247,DMF5CDR3bGIG042xnegative,01_preprocessing,reads_in_total,45684103,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64247,DMF5CDR3bGIG042xnegative,01_preprocessing,reads_out_total,25382490,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64247,DMF5CDR3bGIG042xnegative,01_preprocessing,reads_lost_trimming,20301613,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
GFB-64247,DMF5CDR3bGIG042xnegative,01_preprocessing,n_input_fastqs,2,DMF5,P3481_LUCA-TCRDMF5,data/P3481_LUCA-TCRDMF5/01_preprocessed/22_05_2026_minLenght110_QScore30/per_sample_metrics.tsv,01 preprocessing
