dataset,peptide,n_variants,source_file,label_metric,variant_count,label_class
DMF5,DRG01,218326,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_1,26417,Specific (label 1)
DMF5,DRG04,219283,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_1,37402,Specific (label 1)
DMF5,GIG01,221751,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_1,32939,Specific (label 1)
DMF5,GIG03,218998,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_1,23184,Specific (label 1)
DMF5,GIG04,215680,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_1,20624,Specific (label 1)
DMF5,GIG05,221723,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_1,34787,Specific (label 1)
TCRA3,KH158,141276,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,4124,Specific (label 1)
TCRA3,KH159,150186,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,1667,Specific (label 1)
TCRA3,KH160,135350,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,9166,Specific (label 1)
TCRA3,KH163,138970,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,4784,Specific (label 1)
TCRA3,KH164,124312,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,1464,Specific (label 1)
TCRA3,KH165,152121,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,2990,Specific (label 1)
TCRA3,KH167,157315,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,2808,Specific (label 1)
TCRA3,MAGE-A3,144448,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,6928,Specific (label 1)
TCRA3,Titin,137758,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,2936,Specific (label 1)
TCRA3,KH157,162324,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_1,4277,Specific (label 1)
DMF5,DRG01,218326,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_0,54630,Non-specific (label 0)
DMF5,DRG04,219283,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_0,48245,Non-specific (label 0)
DMF5,GIG01,221751,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_0,53986,Non-specific (label 0)
DMF5,GIG03,218998,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_0,57138,Non-specific (label 0)
DMF5,GIG04,215680,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_0,55602,Non-specific (label 0)
DMF5,GIG05,221723,data/P3481_LUCA-TCRDMF5/04_variant_labeling/Q30/combined/variant_labeling_summary.csv,n_spec_0,51472,Non-specific (label 0)
TCRA3,KH158,141276,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,33423,Non-specific (label 0)
TCRA3,KH159,150186,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,44452,Non-specific (label 0)
TCRA3,KH160,135350,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,24785,Non-specific (label 0)
TCRA3,KH163,138970,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,30640,Non-specific (label 0)
TCRA3,KH164,124312,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,12174,Non-specific (label 0)
TCRA3,KH165,152121,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,47698,Non-specific (label 0)
TCRA3,KH167,157315,data/P3408_LUCA-TCRA3/04_variant_labeling/19_05_2026_minlenght191_Q30/combined/variant_labeling_summary.csv,n_spec_0,53388,Non-specific (label 0)
