sample_id	sample_name	run_depth	lane	read	fastq
GFB-61811	clibMAGE-A32xnegative	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122702222-252273/original/GFB-61811_2510601042_1_clibMAGE-A32xnegative/raw_data/GFB-61811_2510601042_1_clibMAGE-A32xnegative_S1_L001_R1_001.fastq.gz
GFB-61811	clibMAGE-A32xnegative	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212835247-252775/original/GFB-61811_2510680936_1_clibMAGE-A32xnegative/raw_data/GFB-61811_2510680936_1_clibMAGE-A32xnegative_S1_L001_R1_001.fastq.gz
GFB-61811	clibMAGE-A32xnegative	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122709005-252279/original/GFB-61811_2510601042_2_clibMAGE-A32xnegative/raw_data/GFB-61811_2510601042_2_clibMAGE-A32xnegative_S1_L002_R1_001.fastq.gz
GFB-61811	clibMAGE-A32xnegative	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212731335-252764/original/GFB-61811_2510680936_2_clibMAGE-A32xnegative/raw_data/GFB-61811_2510680936_2_clibMAGE-A32xnegative_S1_L002_R1_001.fastq.gz
GFB-61812	clibTitin2xnegative	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122653204-252266/original/GFB-61812_2510601042_1_clibTitin2xnegative/raw_data/GFB-61812_2510601042_1_clibTitin2xnegative_S2_L001_R1_001.fastq.gz
GFB-61812	clibTitin2xnegative	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212700294-252760/original/GFB-61812_2510680936_1_clibTitin2xnegative/raw_data/GFB-61812_2510680936_1_clibTitin2xnegative_S2_L001_R1_001.fastq.gz
GFB-61812	clibTitin2xnegative	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122655910-252268/original/GFB-61812_2510601042_2_clibTitin2xnegative/raw_data/GFB-61812_2510601042_2_clibTitin2xnegative_S2_L002_R1_001.fastq.gz
GFB-61812	clibTitin2xnegative	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212755449-252770/original/GFB-61812_2510680936_2_clibTitin2xnegative/raw_data/GFB-61812_2510680936_2_clibTitin2xnegative_S2_L002_R1_001.fastq.gz
GFB-61813	clibKH1582xnegative	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122651244-252265/original/GFB-61813_2510601042_1_clibKH1582xnegative/raw_data/GFB-61813_2510601042_1_clibKH1582xnegative_S3_L001_R1_001.fastq.gz
GFB-61813	clibKH1582xnegative	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212757745-252772/original/GFB-61813_2510680936_1_clibKH1582xnegative/raw_data/GFB-61813_2510680936_1_clibKH1582xnegative_S3_L001_R1_001.fastq.gz
