sample_id	sample_name	run_depth	lane	read	fastq
GFB-61830	clibKH1673xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121908642-252213/original/GFB-61830_2510601042_1_clibKH1673xpositive/raw_data/GFB-61830_2510601042_1_clibKH1673xpositive_S20_L001_R1_001.fastq.gz
GFB-61830	clibKH1673xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212652879-252754/original/GFB-61830_2510680936_1_clibKH1673xpositive/raw_data/GFB-61830_2510680936_1_clibKH1673xpositive_S20_L001_R1_001.fastq.gz
GFB-61830	clibKH1673xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122110603-252250/original/GFB-61830_2510601042_2_clibKH1673xpositive/raw_data/GFB-61830_2510601042_2_clibKH1673xpositive_S20_L002_R1_001.fastq.gz
GFB-61830	clibKH1673xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212554442-252718/original/GFB-61830_2510680936_2_clibKH1673xpositive/raw_data/GFB-61830_2510680936_2_clibKH1673xpositive_S20_L002_R1_001.fastq.gz
GFB-61831	clibMAGE-A331xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122540860-252259/original/GFB-61831_2510601042_1_clibMAGE-A331xpositive/raw_data/GFB-61831_2510601042_1_clibMAGE-A331xpositive_S21_L001_R1_001.fastq.gz
GFB-61831	clibMAGE-A331xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212602701-252724/original/GFB-61831_2510680936_1_clibMAGE-A331xpositive/raw_data/GFB-61831_2510680936_1_clibMAGE-A331xpositive_S21_L001_R1_001.fastq.gz
GFB-61831	clibMAGE-A331xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122025394-252240/original/GFB-61831_2510601042_2_clibMAGE-A331xpositive/raw_data/GFB-61831_2510601042_2_clibMAGE-A331xpositive_S21_L002_R1_001.fastq.gz
GFB-61831	clibMAGE-A331xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212604051-252725/original/GFB-61831_2510680936_2_clibMAGE-A331xpositive/raw_data/GFB-61831_2510680936_2_clibMAGE-A331xpositive_S21_L002_R1_001.fastq.gz
GFB-61832	clibTitin31xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121911191-252215/original/GFB-61832_2510601042_1_clibTitin31xpositive/raw_data/GFB-61832_2510601042_1_clibTitin31xpositive_S22_L001_R1_001.fastq.gz
GFB-61832	clibTitin31xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212652040-252753/original/GFB-61832_2510680936_1_clibTitin31xpositive/raw_data/GFB-61832_2510680936_1_clibTitin31xpositive_S22_L001_R1_001.fastq.gz
GFB-61832	clibTitin31xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121945273-252229/original/GFB-61832_2510601042_2_clibTitin31xpositive/raw_data/GFB-61832_2510601042_2_clibTitin31xpositive_S22_L002_R1_001.fastq.gz
GFB-61832	clibTitin31xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212543931-252711/original/GFB-61832_2510680936_2_clibTitin31xpositive/raw_data/GFB-61832_2510680936_2_clibTitin31xpositive_S22_L002_R1_001.fastq.gz
GFB-61833	clibKH15831xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122024363-252239/original/GFB-61833_2510601042_1_clibKH15831xpositive/raw_data/GFB-61833_2510601042_1_clibKH15831xpositive_S23_L001_R1_001.fastq.gz
GFB-61833	clibKH15831xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212627378-252737/original/GFB-61833_2510680936_1_clibKH15831xpositive/raw_data/GFB-61833_2510680936_1_clibKH15831xpositive_S23_L001_R1_001.fastq.gz
GFB-61833	clibKH15831xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121955605-252230/original/GFB-61833_2510601042_2_clibKH15831xpositive/raw_data/GFB-61833_2510601042_2_clibKH15831xpositive_S23_L002_R1_001.fastq.gz
GFB-61833	clibKH15831xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212633296-252740/original/GFB-61833_2510680936_2_clibKH15831xpositive/raw_data/GFB-61833_2510680936_2_clibKH15831xpositive_S23_L002_R1_001.fastq.gz
GFB-61834	clibKH15931xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121935270-252227/original/GFB-61834_2510601042_1_clibKH15931xpositive/raw_data/GFB-61834_2510601042_1_clibKH15931xpositive_S24_L001_R1_001.fastq.gz
GFB-61834	clibKH15931xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212626126-252736/original/GFB-61834_2510680936_1_clibKH15931xpositive/raw_data/GFB-61834_2510680936_1_clibKH15931xpositive_S24_L001_R1_001.fastq.gz
GFB-61834	clibKH15931xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122047558-252245/original/GFB-61834_2510601042_2_clibKH15931xpositive/raw_data/GFB-61834_2510601042_2_clibKH15931xpositive_S24_L002_R1_001.fastq.gz
GFB-61834	clibKH15931xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212629019-252738/original/GFB-61834_2510680936_2_clibKH15931xpositive/raw_data/GFB-61834_2510680936_2_clibKH15931xpositive_S24_L002_R1_001.fastq.gz
GFB-61835	clibKH16031xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121920420-252222/original/GFB-61835_2510601042_1_clibKH16031xpositive/raw_data/GFB-61835_2510601042_1_clibKH16031xpositive_S25_L001_R1_001.fastq.gz
GFB-61835	clibKH16031xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212513643-252702/original/GFB-61835_2510680936_1_clibKH16031xpositive/raw_data/GFB-61835_2510680936_1_clibKH16031xpositive_S25_L001_R1_001.fastq.gz
GFB-61835	clibKH16031xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121940237-252228/original/GFB-61835_2510601042_2_clibKH16031xpositive/raw_data/GFB-61835_2510601042_2_clibKH16031xpositive_S25_L002_R1_001.fastq.gz
GFB-61835	clibKH16031xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212548342-252714/original/GFB-61835_2510680936_2_clibKH16031xpositive/raw_data/GFB-61835_2510680936_2_clibKH16031xpositive_S25_L002_R1_001.fastq.gz
GFB-61836	clibKH16331xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122107980-252248/original/GFB-61836_2510601042_1_clibKH16331xpositive/raw_data/GFB-61836_2510601042_1_clibKH16331xpositive_S26_L001_R1_001.fastq.gz
GFB-61836	clibKH16331xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212610100-252728/original/GFB-61836_2510680936_1_clibKH16331xpositive/raw_data/GFB-61836_2510680936_1_clibKH16331xpositive_S26_L001_R1_001.fastq.gz
GFB-61836	clibKH16331xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121930252-252226/original/GFB-61836_2510601042_2_clibKH16331xpositive/raw_data/GFB-61836_2510601042_2_clibKH16331xpositive_S26_L002_R1_001.fastq.gz
GFB-61836	clibKH16331xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212623476-252735/original/GFB-61836_2510680936_2_clibKH16331xpositive/raw_data/GFB-61836_2510680936_2_clibKH16331xpositive_S26_L002_R1_001.fastq.gz
GFB-61837	clibKH16431xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121906011-252211/original/GFB-61837_2510601042_1_clibKH16431xpositive/raw_data/GFB-61837_2510601042_1_clibKH16431xpositive_S27_L001_R1_001.fastq.gz
GFB-61837	clibKH16431xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212556994-252720/original/GFB-61837_2510680936_1_clibKH16431xpositive/raw_data/GFB-61837_2510680936_1_clibKH16431xpositive_S27_L001_R1_001.fastq.gz
GFB-61837	clibKH16431xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122010744-252234/original/GFB-61837_2510601042_2_clibKH16431xpositive/raw_data/GFB-61837_2510601042_2_clibKH16431xpositive_S27_L002_R1_001.fastq.gz
GFB-61837	clibKH16431xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212522226-252704/original/GFB-61837_2510680936_2_clibKH16431xpositive/raw_data/GFB-61837_2510680936_2_clibKH16431xpositive_S27_L002_R1_001.fastq.gz
GFB-61838	clibKH16531xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122109250-252249/original/GFB-61838_2510601042_1_clibKH16531xpositive/raw_data/GFB-61838_2510601042_1_clibKH16531xpositive_S28_L001_R1_001.fastq.gz
GFB-61838	clibKH16531xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212558386-252721/original/GFB-61838_2510680936_1_clibKH16531xpositive/raw_data/GFB-61838_2510680936_1_clibKH16531xpositive_S28_L001_R1_001.fastq.gz
GFB-61838	clibKH16531xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121905011-252210/original/GFB-61838_2510601042_2_clibKH16531xpositive/raw_data/GFB-61838_2510601042_2_clibKH16531xpositive_S28_L002_R1_001.fastq.gz
GFB-61838	clibKH16531xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212611781-252729/original/GFB-61838_2510680936_2_clibKH16531xpositive/raw_data/GFB-61838_2510680936_2_clibKH16531xpositive_S28_L002_R1_001.fastq.gz
GFB-61839	clibKH16731xpositive	run1-1000M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102121915728-252218/original/GFB-61839_2510601042_1_clibKH16731xpositive/raw_data/GFB-61839_2510601042_1_clibKH16731xpositive_S29_L001_R1_001.fastq.gz
GFB-61839	clibKH16731xpositive	run2-500M	001	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212601695-252723/original/GFB-61839_2510680936_1_clibKH16731xpositive/raw_data/GFB-61839_2510680936_1_clibKH16731xpositive_S29_L001_R1_001.fastq.gz
GFB-61839	clibKH16731xpositive	run1-1000M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run1-1000M/20251102122116132-252255/original/GFB-61839_2510601042_2_clibKH16731xpositive/raw_data/GFB-61839_2510601042_2_clibKH16731xpositive_S29_L002_R1_001.fastq.gz
GFB-61839	clibKH16731xpositive	run2-500M	002	1	/cluster/project/reddy/marluca/NGS_pipeline/data/raw/P3408_LUCA-TCRA3/POOL-1195-comblib/run2-500M/20251105212555681-252719/original/GFB-61839_2510680936_2_clibKH16731xpositive/raw_data/GFB-61839_2510680936_2_clibKH16731xpositive_S29_L002_R1_001.fastq.gz
