sample_id	sample_name	run_depth	lane	read	fastq
GFB-64245	DMF5CDR3bGIG012xnegative		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154354625-280428/original/GFB-64245_2524611701_1_DMF5CDR3bGIG012xnegative/raw_data/GFB-64245_2524611701_1_DMF5CDR3bGIG012xnegative_S1_L001_R1_001.fastq.gz
GFB-64245	DMF5CDR3bGIG012xnegative		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154438430-280434/original/GFB-64245_2524611701_2_DMF5CDR3bGIG012xnegative/raw_data/GFB-64245_2524611701_2_DMF5CDR3bGIG012xnegative_S1_L002_R1_001.fastq.gz
GFB-64246	DMF5CDR3bGIG032xnegative		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154210316-280405/original/GFB-64246_2524611701_1_DMF5CDR3bGIG032xnegative/raw_data/GFB-64246_2524611701_1_DMF5CDR3bGIG032xnegative_S2_L001_R1_001.fastq.gz
GFB-64246	DMF5CDR3bGIG032xnegative		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154356817-280429/original/GFB-64246_2524611701_2_DMF5CDR3bGIG032xnegative/raw_data/GFB-64246_2524611701_2_DMF5CDR3bGIG032xnegative_S2_L002_R1_001.fastq.gz
GFB-64247	DMF5CDR3bGIG042xnegative		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154345102-280427/original/GFB-64247_2524611701_1_DMF5CDR3bGIG042xnegative/raw_data/GFB-64247_2524611701_1_DMF5CDR3bGIG042xnegative_S3_L001_R1_001.fastq.gz
GFB-64247	DMF5CDR3bGIG042xnegative		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154548859-280436/original/GFB-64247_2524611701_2_DMF5CDR3bGIG042xnegative/raw_data/GFB-64247_2524611701_2_DMF5CDR3bGIG042xnegative_S3_L002_R1_001.fastq.gz
GFB-64248	DMF5CDR3bGIG052xnegative		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154208656-280404/original/GFB-64248_2524611701_1_DMF5CDR3bGIG052xnegative/raw_data/GFB-64248_2524611701_1_DMF5CDR3bGIG052xnegative_S4_L001_R1_001.fastq.gz
GFB-64248	DMF5CDR3bGIG052xnegative		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154400318-280430/original/GFB-64248_2524611701_2_DMF5CDR3bGIG052xnegative/raw_data/GFB-64248_2524611701_2_DMF5CDR3bGIG052xnegative_S4_L002_R1_001.fastq.gz
GFB-64249	DMF5CDR3bDRG012xnegative		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154311403-280420/original/GFB-64249_2524611701_1_DMF5CDR3bDRG012xnegative/raw_data/GFB-64249_2524611701_1_DMF5CDR3bDRG012xnegative_S5_L001_R1_001.fastq.gz
GFB-64249	DMF5CDR3bDRG012xnegative		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154306791-280418/original/GFB-64249_2524611701_2_DMF5CDR3bDRG012xnegative/raw_data/GFB-64249_2524611701_2_DMF5CDR3bDRG012xnegative_S5_L002_R1_001.fastq.gz
GFB-64250	DMF5CDR3bDRG042xnegative		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154156799-280402/original/GFB-64250_2524611701_1_DMF5CDR3bDRG042xnegative/raw_data/GFB-64250_2524611701_1_DMF5CDR3bDRG042xnegative_S6_L001_R1_001.fastq.gz
GFB-64250	DMF5CDR3bDRG042xnegative		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154321768-280425/original/GFB-64250_2524611701_2_DMF5CDR3bDRG042xnegative/raw_data/GFB-64250_2524611701_2_DMF5CDR3bDRG042xnegative_S6_L002_R1_001.fastq.gz
GFB-64251	DMF5CDR3bGIG011xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154236557-280410/original/GFB-64251_2524611701_1_DMF5CDR3bGIG011xpositive/raw_data/GFB-64251_2524611701_1_DMF5CDR3bGIG011xpositive_S7_L001_R1_001.fastq.gz
GFB-64251	DMF5CDR3bGIG011xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154248794-280413/original/GFB-64251_2524611701_2_DMF5CDR3bGIG011xpositive/raw_data/GFB-64251_2524611701_2_DMF5CDR3bGIG011xpositive_S7_L002_R1_001.fastq.gz
GFB-64252	DMF5CDR3bGIG031xpositive		001	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154151171-280399/original/GFB-64252_2524611701_1_DMF5CDR3bGIG031xpositive/raw_data/GFB-64252_2524611701_1_DMF5CDR3bGIG031xpositive_S8_L001_R1_001.fastq.gz
GFB-64252	DMF5CDR3bGIG031xpositive		002	1	/cluster/project/reddy/katja/data/raw/P3481_LUCA-TCRDMF5/20260113154320246-280424/original/GFB-64252_2524611701_2_DMF5CDR3bGIG031xpositive/raw_data/GFB-64252_2524611701_2_DMF5CDR3bGIG031xpositive_S8_L002_R1_001.fastq.gz
